year,title,place,city,associates,category
2009,,Kinetica Museum ,"Londres, Angleterre et Budapest, Hongrie ",,Expositions collectives
2008,,Selfridges,Londres Angleterre,,Expositions collectives
2008,International Kepes Society,Galerie A22,Budapest Hongrie,,Expositions collectives
2007,,,,,Expositions collectives
2007,Concrete and Glass,Kinetica Museum ,Londres Angleterre,,Expositions collectives
2006,,Kinetica Museum,Londres Angleterre,,Expositions collectives
2003,,Centre d'art Peyresc,Toulon France,,Expositions collectives
1999,,Contemporary Art Museum,Montréal Canada,,Expositions collectives
1999,,Musée de la civilisation,Quebec Canada,,Expositions collectives
1996,,Fine Art Museum ,Kingston  Canada,,Expositions collectives
1992,,Contemporary Art Museum,Montréal Canada,,Expositions collectives
1984,Animotion,film broadcasting,Canada,,Expositions collectives
1974,Exposition internationale d’art à l’ordinateur ,,"Montréal, Canada ",,Expositions collectives
1974,Computer Art’74 ,,"Tokyo, Japon ",,Expositions collectives
1974,SDL Collection ,National Art Center ," Ottawa, Canada ",,Expositions collectives
1974,CyberART’74 ,University of Toronto ,"Toronto, Canada ",,Expositions collectives
1974,,Galerie Gilles Gheerbrant ,"Montréal, Canada ",,Expositions collectives
1974,International Computer Graphic ,The Polytechnic of Central London ,"Londres, Angleterre ",,Expositions collectives
1974,,Espace 5 ,"Montréal, Canada ",,Expositions collectives
1974,Le musée électrique ,Musée d’art contemporain ,"Montréal, Canada ",,Expositions collectives
1974,SDL Collection ,Université Laval ,"Laval, Canada ",,Expositions collectives
1973,Elektrizität und Kunst ,,"Hambourg, Allemagne ",,Expositions collectives
1973,Cybernetic Artrip ,Sony Building ,"Tokyo, Japon ",,Expositions collectives
1973,,Winnipeg Art Gallery ,"Winnipeg, Canada ",,Expositions collectives
1973,,Vancouver Art Gallery ,"Vancouver, Canada ",,Expositions collectives
1973,,Iris Clert ,"Paris, France ",,Expositions collectives
1973,Programm-Zufall-System ,Städtisches Museum Mönchengladbach ,"Mönchengladbach, Allemagne ",,Expositions collectives
1973,,International Computer Art Exhibition ,"Toronto, Canada ",,Expositions collectives
1973,Contact II ,"Sigma, Galerie des Beaux-Arts ","Bordeaux, France ",,Expositions collectives
1973,,New Brunswick Museum ,"Saint John, Canada ",,Expositions collectives
1972,,Owens Gallery ,"Sackville, Canada ",,Expositions collectives
1972,,Rothman’s Art Gallery ,"Stratford, Canada ",,Expositions collectives
1972,Exposition internationale Art et Ordinateur ,,"Montréal, Canada ",,Expositions collectives
1972,,Teufel Gallery,"Cologne, Allemagne",,Expositions collectives
1972,,Robert McLaughlin Gallery ,"Oshawa, Canada ",,Expositions collectives
1972,International Kunstmesse,,"Basle & Dusseldorf, Suisse",,Expositions collectives
1972,,York University Gallery,"Toronto, Canada",,Expositions collectives
1971,,Galerie Denise René,"Paris, France",,Expositions collectives
1971,,Galerie Nationale du Canada ,"Ottawa, Canada",,Expositions collectives
1971,,Musée d'art contemporain,"Montréal, Canada",,Expositions collectives
1971,,York Université Gallery,Toronto Canada,,Expositions collectives
1971,,Centre d’Art Saydie Bronfman ,"Montréal, Canada",,Expositions collectives
1971,Canadian Computer Exhibition,,"Toronto, Canada",,Expositions collectives
1971,Cybernetic and Art,,"Cambridge, Angleterre",,Expositions collectives
1970,,Canada National Gallery,"Ottawa, Canada ",,Expositions collectives
1970,,Centre d’Art Agnès Etherington ,"Windsor, Canada ",,Expositions collectives
1970,,Caspary Gallery,"New-York, Etats-Unis ",,Expositions collectives
1970,12th Biennal,Winnipeg Art Gallery,"Winnipeg, Canada",,Expositions collectives
1970,,Musée d'art contemporain,"Montréal, Canada",,Expositions collectives
1970,,Musée National des Beaux Arts de Québec ,"Québec, Canada",,Expositions collectives
1970,,Musée Rodin,"Paris, France",,Expositions collectives
1970,,Kinetics Hayward Gallery,"Londres, Angleterre",,Expositions collectives
1969,,Howard Wise Gallery,"New-York, Etats-Unis",,Expositions collectives
1969,,Musée d'art contemporain,"Montréal, Canada",,Expositions collectives
1969,Some More Beginings,Brooklyn Museum,"New-York, Etats-Unis",,Expositions collectives
1968,,Howard Wise Gallery,New-York Etats-Unis,,Expositions collectives
1968,,The J.L. Hudson Gallery ,"Détroit, Etats-Unis",,Expositions collectives
1968,11th Biennal,Winnipeg Art Gallery,"Winnipeg, Canada",,Expositions collectives
1968,Artists 68,Ontario Art Gallery,"Toronto, Canada",,Expositions collectives
1967,Award,Musée d'art contemporain,"Montréal, Canada",,Expositions collectives
,,Contemporary Art Museum,"Montréal, Canada",,Collection publiques et privées
,,Museum of Fine Arts,"Montréal, Canada",,Collection publiques et privées
,,Fine Arts Museum,"Ottawa, Canada",,Collection publiques et privées
,,Art Gallery of Kingston,"Kingston, Canada",,Collection publiques et privées
,,Modern Art Museum,"San-Francisco, Etats-Unis",,Collection publiques et privées
,,Fine Arts Museum,"Ludwigshafen, Allemagne",,Collection publiques et privées
,,Kunst Museum,"Gelsenkirschen, Allemagne",,Collection publiques et privées
,,Fine Arts Museum,"Krefeld, Allemagne",,Collection publiques et privées
,,Forbes Magazine,"New-York, Etats-Unis",,Collection publiques et privées
,artequation,CB Richard Ellis,"Paris, France",,Collection publiques et privées
,,Coppenrath & ass.,"Montréal, Canada",,Collection publiques et privées
,,Société Heintz S.A,"Metz, France",,Collection publiques et privées
,,E.Sauvage Architecte,"Paris, France",,Collection publiques et privées
,,Fondation Villa Datris,"L'isle sur la Sorgues, France",,Collection publiques et privées
