name,description,dimensions,year,image,video_key,display_option,collection
9 contractions,,160 x 160 x 17 cm ,1971,Hry4NJ9NoidYqaKYTrJfTHep.png,,video,Kinetic 
Triple contraction ,,155 x 55 x 14 cm ,1970,MvAVT5VegxRvRynVPaGeYRUg.png,445530042,video,Kinetic 
Ligne noire horizontale ,,60 x 60 x 10 cm ,1969,9aT9deoLoz6BxRFuZy5jq2Ra.png,444941357,video,Kinetic 
Ligne noire verticale ,,60 x 60 x 10 cm ,1969,AobYZZPWXkaYvQEr6Vm5cNcv.png,445525704,video,Kinetic 
Triangulation ,,125 x 14 cm ,1969,Pnxdv6pm5q21JZQpjPvG5Xdy.png,445499660,video,Kinetic 
Contractions ,,90 x 90 x 25 cm ,1968,FnazGPpN8NNYezK1U2rgXnJc.jpg,,video,Kinetic 
Pulsation 3 ,,,1968,hz1ht9HeH5TWWCPcG11B5LYF.png,445519278,video,Kinetic 
Pulsation 4 ,,83 x 83 x 21 cm,1968,JqG2cdmZg8NV1E1PWyXvaaee.jpg,,video,Kinetic 
Pulsation 6 ,,82 x 82 x 23 cm ,1968,FntYYzjgLyieMbGarvVwWdjC.jpg,,video,Kinetic 
Pulsation 8 ,,,1968,ZyiDe1XXf3ZGAk3JCPKZ2tc2.png,445534996,video,Kinetic 
Pulsations 16 ,,,1968,iTAt4eBWuYHjKUtx7WdCUZh8.png,444897028,video,Kinetic 
Pulsations 17,,,1968,SGKEjHuNZAZZT2fY5G4ua33g.png,444897553,video,Kinetic 
Pulsations 7 ,,83 x 83 x 23 cm ,1968,EJNXHojyEFvbaHCcrfSrXt9g.png,,video,Kinetic 
Pulsation 2,,43 x 43 x 21 cm ,1967,yK6X1uQyvM1vBxzvH443XQPF.jpg,,video,Kinetic 
Pulsation 5,,82 x 82 x 23 cm,1967,WeuPZxSwKRYBNG4vKirRjW3H,,video,Kinetic 
Pulsation A ,1966 - 2019 ,"67 x 67 x 16,5 cm ",1966,s7EdEMo9qDFd17zYAKHUFKmA.png,453233058,video,Kinetic 
Reflexion ,,48 x 35 x 22 cm ,1966,XsUECDGjmFX3N7tM2kYwviDM.jpg,,video,Kinetic 
Lampe cube de Boy,,40 x 40 x 60 cm ,2013,Be6hvQCobjD4YxjMfF5RzV5b,,image,Neon
Cube de Boy bleu foncé,,,2012,Pm7JTFesttQpgKafy2rVaLAh,,image,Neon
Cube de Boy jaune vert bleu,Collection de l'artiste ,,2012,7hzXuwVLvxSRAHNYPqjYbVVL,,image,Neon
Cube de Boy violet,,,2012,uM3g1EPzR6iCJSw6JkM4DwLH,,image,Neon
Variation sur cube de Boy 2,Collection de l'artiste ,,2012,QgeGDFVMx8EKw14iJLgkYgdF,,image,Neon
Variation sur cube de Boy 3,,165 x 90 x 80 cm ,2012,A6ZziYTESgAE9nko1Ehb9MUw,,image,Neon
3 cubes de Boy,,2x40cm 1x50cm ,2011,VDuNL1xV4McDLEZQgFhUFHjS,,image,Neon
Cube de Boy blanc,,170 x 90 x 90 cm ,2011,AGbtFQRrYxsEi79CDFqW6acE,,image,Neon
Cube de Boy rouge,Collection de l'artiste ,,2011,cSkKd9yfd2T2nJY1XhJNR2E1,,image,Neon
Ambiguïté géométrique 1,,,2007,3QwupM922PoqGARkpBipFYUL,,image,Neon
Ambiguïté géométrique 2,,,2007,U9QRA2B5MiAKuGXwmdrduwHK,,image,Neon
Ambiguïté géométrique 3,,,2007,czrEuAEANu3gq85mivFtkCAe,,image,Neon
Ambiguïté géométrique 4,,,2007,nGR1jRSVyrkrk8uhJeXDk1ym,,image,Neon
Ambiguïté géométrique 5,,,2007,bo9pX2uaaKAzhXt1NSUGyf31,,image,Neon
Ambiguïté géométrique 6,,,2007,2jZZtA54WD5LhyhrjqdVsBbB,,image,Neon
Ambiguïté géométrique 7,,,2007,dywyGzQ6Z8zGdGTSYqAf1bCk,,image,Neon
Ambiguïté géométrique 8,,,2007,T5o7Zx5SdDQPcuMrfRj6AEM9,,image,Neon
Cube de Boy bleu  ,Collection de l'artiste ,195 x 92 x 92 cm ,2006,6zWy94QCwehd3mrehbMF2hig,445534064,video,Neon
4 demi-lignes de néon blanc,Collection de l'artiste ,200 x 200 x 45 cm ,1973,cvqGBWMGGhNoiSsTCay9d3Ru,,image,Neon
11 néons,Collection de l'artiste ,195 x 1500 x 105 cm ,1970,LFShKCKyXkyTHp8HbUB5oCbQ,,image,Neon
Lumière bleue,Collection de l'artiste ,200 x 115 x 1500 cm ,1970,t5EJYKSUiNLPLFbA4oSq3BuM,,image,Neon
Michele neon,Collection de l'artiste ,220 x 145 x 145 ,1969,YeHsy1dmKjFJErkcbTSPiqfX,,image,Neon
Cube de Boy verre ,,62 x 62 x 62 cm ,2012,SGYRwAgkjRTotHZs4YKr7xv6,,image,Sculptur 
Cube de boy en volume - face 1 ,Bronze ,57 x 57 x 54 cm ,2008,ozY7b99R6P9g5tUyMtJ6Wo7d,,image,Sculptur 
Cube de boy en volume - face 2 ,Bronze ,57 x 57 x 54 cm ,2008,joep7KMLxTcm86yAxuvCA95W,,image,Sculptur 
Cube de boy en volume - face 3,Bronze ,57 x 57 x 54 cm ,2008,ApXiNqtnE3uNRxnGAgFnxzsy,,image,Sculptur 
Cube de Boy Acier ,,190 x 190 x 190 cm ,2006,85tazXe28AP4yDxqoCKeVzRt,,image,Sculptur 
Sculpture monumentale Acier ,,350 x 220 x 70 cm ,2003,Cw2Fn8pxw9oJJaJ1NN6AN1Y4,,image,Sculptur 
Sculpture monumentale Aluminium ,,225 x 225 x 300 cm ,2003,o8e2csdCEvkdM5k79uThoYRu,,image,Sculptur 
Sculptures noires 1 ,,,2003,qnT1FFNnC4RVx1RzpSnsxB2P,,image,Sculptur 
Signe,,67 x 28 x 10 cm,2003,RRJt5mA5QVGeoj7q5qHt4Sky,,image,Sculptur 
Megantic 1 ,bronze et pierre ,48 x 27 x 18 cm ,2002,mMV9iR4FJsBr7yJPyCJGzuc9,,image,Sculptur 
Missisquoi 11 ,Bronze ,49 x 29 x 07 cm ,2002,1DMsmKpXLyb5jYVFuNhfL6Xu,,image,Sculptur 
Missisquoi 14 ,Bronze ,58 x 57 x 25 cm ,2002,2d7qcLGdh6tutST3rzGxYbFW,,image,Sculptur 
Signes ,Bronze et acier ,178 x 50 x 16 cm ,2002,of5tyheZf13VvaQ2aNgqXtZY,,image,Sculptur 
Totem Missisquoi 2 ,verre ,61 x 41 x 16 cm ,2002,BuE5rwRvB9yHonJaUmEHKJnw,,image,Sculptur 
Vague 2 ,,,2001,qivj2mLPkTKDJec2mnGz9YTK,,image,Sculptur 
Sculptures noires 2 ,,,2000,VX2zgU5RpVoQCePhHbXyXffP,,image,Sculptur 
Equivalence 64 pouces cubes ,,59 x 41 x 41 ,1998,THvddAmMnMgH64WwcKaQpSCg,,image,Sculptur 
Maquette de sculpture ,Ressort chromé ,,1990,6z59PkNfA6rxe73xcuRX38q6,,image,Sculptur 
Signe 3 ,Aluminium anodisé noir ,21x58x10cm ,1983,dKw2XZhkNezkf1y4icWYwvSN,,image,Sculptur 
Signe 4,Aluminium anodisé noir ,29 x 60 x 10 cm ,1983,DtgV6Ua12tYpYt5QNkLuEnMk,,image,Sculptur 
Signes 2,Aluminium anodisé noir ,29 x 58 x10 cm ,1983,cH1anwQVs28FV22bdGmyGM54,,image,Sculptur 
5 pieces aluminium ,,,1978,Ei6Mnuvm8gHzS554G6y3RhEf,,image,Sculptur 
Installation 16 pieces aluminium ,,125 x 125 x 10 cm ,1978,q8z7dkrBJhbhbQgRMXStgHPF,,image,Sculptur 
Installation 7 pieces aluminium ,,10 x 15 x 155 cm ,1978,8iQf3r65SwpR4LyTfEoguDNh,,image,Sculptur 
20 pieces Murales ,"Collection du Musee d'Art Contemporain de Montreal, Canada ",150 x 200 x 7 cm ,1976,U714oYrhvK7q28UNDTrV4nGr,,image,Sculptur 
Piece Murale ,,205 x 85 x 7 cm ,1976,K9Q3Nx1fn5svF6Ao9VYE2VSR,,image,Sculptur 
Relief Mural ,,170 x 120 x 7 cm ,1976,xhaahsawDV2z6BeXMdHq89tr,,image,Sculptur 
Jello ,,135 x 75 x 75 cm ,1970,ufZaBMyRkLgE5c6sa1wcRv9i,,image,Sculptur 
Expansion ,"Collection du Musee d'Art Contemporain de Montreal, Canada",,1969,CHshdhzTZpQATgYN2jdKgGHh,,image,Sculptur 
Dessin 1 ,,30 x 30 cm,1974,54Z3fFbGLiSYbzrPMKAs4CGh,,image,Drawing 
Dessin B ,,,1974,iCE3oGYX6RREV23YNho9nQ7m,,image,Drawing 
Dessin D ,,,1974,91ypKjGseY5tQe9FEvQZD4GD,,image,Drawing 
Dessin E ,,,1974,PaH6681keP73v7XHaDzh6iHU,,image,Drawing 
Dessin F ,,,1974,kEXEGs2JvBF97cPZ51nN84fy,,image,Drawing 
Dessin X ,,,1974,rZdBDEX7PmMzq8ScRHMuJAjt,,image,Drawing 
Gravure sur Verre ,,,2005,e4aggBq2ZNWawEqjFaxdSvLx,,image,Drawing 
Signes Gouache ,,,2005,En6GF4j4W9J5QCh4D7XCXufM,,image,Drawing 
Serigraphie SDL ,,"57 x 57,5 cm",1985,4WRg75jLEXJEFwStGWQAozeY,,image,Drawing 
Dessin W ,,,1976,GUAmf189kpjLpamVY2BUf3Vf,,image,Drawing 
Eau Forte ,,20 x 20 cm ,1976,6Q5ZNeGuj1drdc8UBxLZYxkd,,image,Drawing 
Epreuve gaufrée ,,50 x 65 cm,1976,XPwhAbKxzua5YKKFsx4jUBRQ,,image,Drawing 
Sérigraphie 14/15,,50 x 76 cm,1976,cp43efEezTpgBPyEyyJ2yBTF,,image,Drawing 
